sale_express_rules_id,country
8,DE
10,DE
13,DE
22,FR
23,FR
29,IT
30,IT
32,IT
35,IT
37,ES
38,ES
40,ES
49,GB
50,GB
60,DE
61,DE
90,DE
94,DE
95,DE
102,DE
103,DE
104,DE
105,BE
107,BE
108,BE
109,BE
110,NL
111,NL
113,NL
115,PL
117,PL
120,PL
140,DE
141,DE
142,FR
145,FR
146,ES
149,BE
151,NL
158,ES
159,ES
159,FR
159,IT
159,NL
159,PL
160,ES
160,FR
160,IT
160,NL
161,FR
164,PL
166,PL
167,NL
170,AT
170,BE
171,BE
173,IT
176,AT
177,AT
179,AT
182,AT
187,AT
191,GB
194,GB
288,PT
290,PT
292,PT
293,PT
294,IE
295,IE
297,IE
298,IE
299,LU
300,LU
302,LU
303,LU
304,DK
311,CZ
312,CZ
313,HU
314,HU
316,HU
317,HU
321,AT
322,AT
323,FR
324,FR
325,IT
326,IT
327,ES
328,ES
329,BE
330,BE
331,NL
332,NL
333,PL
334,PL
335,PT
336,PT
337,IE
338,IE
339,LU
341,CZ
342,CZ
343,HU
344,HU
363,PT
364,PT
366,IE
367,IE
368,LU
369,LU
370,DK
371,DK
372,DK
373,CZ
374,CZ
375,CZ
376,HU
377,HU
378,HU
381,DE
382,DE
383,AT
384,FR
384,IE
384,IT
386,ES
387,NL
388,PL
389,PL
390,PT
391,PT
393,LU
394,DK
395,CZ
396,CZ
397,HU
399,DE
405,GB
407,GB
410,GB
411,GB
419,DE
420,DE
425,BE
431,IT
432,IT
433,ES
434,ES
435,ES
445,DE
446,DE
447,DE
448,DE
449,DE
450,AT
451,AT
452,AT
453,FR
455,FR
456,FR
457,IT
458,IT
459,IT
460,ES
461,ES
462,ES
463,BE
464,BE
465,BE
466,BE
467,NL
468,NL
469,NL
470,PL
471,PL
472,PL
473,PT
475,PT
476,PT
477,PT
478,IE
479,IE
480,IE
481,LU
482,LU
483,LU
484,LU
485,DK
486,DK
487,DK
489,DK
490,CZ
491,CZ
492,HU
493,HU
494,HU
504,FR
505,FR
506,FR
507,FR
517,GB
518,GB
521,ES
522,FR
523,GB
524,GB
525,GB
527,GB
528,GB
529,IT
530,IT
532,GB
533,GB
545,DE
553,DE
554,DE
555,DE
558,DE
559,DE
560,DE
563,DE
564,DE
565,DE
566,DE
567,DE
569,DE
580,DE
582,DE
583,DE
584,DE
587,AT
588,ES
589,ES
590,ES
591,ES
592,ES
593,ES
594,ES
595,ES
596,ES
597,ES
598,ES
599,ES
600,ES
601,FR
602,ES
603,IT
604,BE
605,NL
606,ES
607,ES
608,IT
609,IT
610,IT
611,IT
612,FR
613,ES
614,ES
615,ES
616,ES
619,IT
620,IT
621,IT
622,IT
649,GB
650,GB
651,GB
652,DE
653,DE
654,DE
655,DE
656,FR
657,FR
658,FR
659,FR
661,DE
662,DE
663,DE
664,DE
665,DE
666,DE
667,DE
668,
669,DE
670,DE
671,DE
672,DE
674,FR
675,FR
676,FR
677,FR
679,ES
680,FR
681,DE
682,DE
683,DE
684,DE
685,DE
686,DE
697,DE
698,DE
699,DE
700,DE
701,ES
703,AT
704,IT
705,ES
706,NL
707,IT
708,AT
709,LU
710,IE
714,PT
715,GB
716,GB
724,DE
725,DE
726,DE
727,FR
730,ES
731,FR
732,ES
733,ES
734,IT
735,IT
736,IT
737,AT
738,AT
739,AT
740,NL
741,NL
742,NL
743,SE
744,SE
745,SE
746,SE
747,SE
748,SE
749,SE
750,SE
751,SE
752,SE
753,BE
754,BE
755,BE
756,PT
757,PT
758,PT
759,IE
760,IE
761,LU
762,LU
763,LU
764,DK
765,CZ
766,CZ
767,CZ
768,CZ
769,ES
770,DE
771,DE
772,DE
773,PL
774,PL
775,PL
776,DE
777,DE
778,DE
779,DE
780,FR
781,BE
782,AT
783,NL
784,GB
785,DE
786,DE
787,DE
789,FR
790,FR
829,GB
832,IT
833,DE
834,DE
835,DE
836,DE
837,DE
838,DE
839,DE
844,DE
845,DE
848,GB
851,ES
852,ES
873,HU
874,HU
875,HU
876,GB
877,GB
892,FR
896,PT
