sale_express_rules_id,bs_warehouse_id,bs_express_service_id,hangzhou_carrierservice_id,sort_order,max_length,second_length,third_length,volume_weight,volume_weight_v3,any_length_sum,perimeter,girth,gross_weight,two_width_height,volume,remark,auto_refresh_count,erp_sku,enable_flag,sfp_to_general,ctime,mtime
35,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1702430947,1740134809
94,MY-SH,DeUPS>11>公司账号自买面单,2,4,GT_175@LT_270,,,,,,,LT_297,LT_31.5,,,,,,1,2,0,1758512904
108,MY-DE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_28,,,,LT_297,LT_28,,,,,,1,1,0,1746526038
120,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_24,,,,LT_297,LT_24,,,,,,1,1,0,0
141,MY-DE,DeUPS>11>公司账号自买面单,2,8,LT_270,,,LT_44,,,,LT_400,LT_44,,,,,,1,1,0,1758512806
145,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,0,1740134271
146,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,0,1740209973
149,MY-DE,DeUPS>11>公司账号自买面单,2,6,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,0,1740210455
151,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,0,1740210747
182,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1702430947,1760703088
293,MY-DE,DeUPS>11>公司账号自买面单,2,6,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1721117252,1740213214
298,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1721117309,1740213517
299,MY-DE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,,,1,1,1721117609,1721117609
303,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1721117610,1758098462
304,MY-DE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_22,,,,LT_297,LT_22,,,,,,1,1,1721118127,1746526424
312,MY-DE,DeUPS>11>公司账号自买面单,2,4,LT_270,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1721118237,1758098431
317,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,1721118447,1758098458
381,MY-DE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_20,,,,LT_297,LT_20,,,,,,1,1,0,1746525540
382,MY-DE,DeUPS>11>公司账号自买面单,2,6,LT_270,,,LT_40,,,,LT_297,LT_40,,,,,,1,1,0,1758512802
383,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_14,,,,LT_297,LT_14,,,,,,1,1,0,1746525815
384,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_14,,,,LT_297,LT_14,,,,,,1,1,0,0
386,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_22,,,,LT_297,LT_22,,,,,,1,1,0,0
387,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_28,,,,LT_297,LT_28,,,,,,1,1,0,1746526128
389,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,0,1740212700
390,MY-DE,DeUPS>11>公司账号自买面单,2,2,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,,,1,1,0,0
391,MY-DE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_22,,,,LT_297,LT_22,,,,,,1,1,0,0
393,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_28,,,,LT_297,LT_28,,,,,,1,1,0,1746526375
394,MY-DE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,,,1,1,0,1740214144
395,MY-DE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_25,,,,LT_297,LT_25,,,,,,1,1,0,0
397,MY-DE,DeUPS>11>公司账号自买面单,2,3,LT_270,,,LT_14,,,,LT_297,LT_14,,,,,,1,1,0,1758098427
425,MY-DE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,,,1,1,0,0
445,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_100,LT_76,,LT_24,,,,LT_297,LT_24,,,,2,,1,1,1740129866,1764727801
447,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_270,,,LT_40,,,,LT_297,LT_40,,,,2,,1,1,1740130069,1758512977
449,MY-KE,DeUPS>11>公司账号自买面单,2,7,LT_270,,,LT_44,,,,LT_400,LT_44,,,,2,,1,1,1740130251,1758512981
450,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740133337,1746525812
452,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740133574,1740133574
453,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740134144,1740134144
456,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740134315,1740134315
457,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740134709,1740134709
459,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740134854,1740134854
460,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_22,,,,LT_297,LT_22,,,,2,,1,1,1740209883,1740209883
462,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740210032,1740210032
463,MY-KE,DeUPS>11>公司账号自买面单,2,1,LT_100,LT_75,LT_75,LT_14,,,,LT_297,LT_14,,,,2,,1,1,1740210226,1740210226
464,MY-KE,DeUPS>11>公司账号自买面单,2,4,LT_175,,,LT_28,,,,LT_297,LT_28,,,,2,,1,1,1740210397,1746526033
466,MY-KE,DeUPS>11>公司账号自买面单,2,6,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740210508,1740210508
467,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_28,,,,LT_297,LT_28,,,,2,,1,1,1740210652,1746526123
469,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740210788,1740210788
470,MY-KE,DeUPS>11>公司账号自买面单,2,3,LT_175,,,LT_24,,,,LT_297,LT_24,,,,2,,1,1,1740212576,1740212576
472,MY-KE,DeUPS>11>公司账号自买面单,2,5,LT_274,,,LT_43,,,,LT_400,LT_43,,,,2,,1,1,1740212691,1740212691
